,measure,language,uni_lemma,definition,prop,order,frequency,phones,category,lexical_category,syllables
76,produces,English,belly button,belly button,0.10968543,76,0.008566533,8,body_parts,nouns,bEli 'bV t@n
77,produces,English,door,door,0.108443709,77,0.605368361,2,furniture_rooms,nouns,dOr
78,produces,English,tree,tree,0.107201987,78,0.349514563,3,outside,nouns,tri
79,produces,English,yucky,yucky,0.10513245,79,0.096516276,4,descriptive_words,predicates,jV ki
80,produces,English,drink (beverage),drink (beverage),0.104718543,80,0.509423187,5,food_drink,nouns,driNk
81,produces,English,spoon,spoon,0.103890728,81,0.348372359,4,household,nouns,spun
82,produces,English,block,block,0.102649007,82,0.201599086,4,toys,nouns,blAk
83,produces,English,moon,moon,0.101821192,83.5,0.113078241,3,outside,nouns,mun
84,produces,English,night night,night night,0.101821192,83.5,0.01027984,3,games_routines,other,naIt naIt
85,produces,English,cow,cow,0.100165563,85.5,0.529982867,2,animals,nouns,kaU
86,produces,English,flower,flower,0.100165563,85.5,0.17704169,4,outside,nouns,flaU @r
87,produces,English,button,button,0.098509934,87,0.235294118,4,clothing,nouns,bU t@n
88,produces,English,teddybear,teddybear,0.096854305,88,0.091376356,7,animals,nouns,tE di bEr
89,produces,English,babysitter's name,babysitter's name,0.095198675,89.5,NA,NA,people,other,NA
90,produces,English,tooth,tooth,0.095198675,89.5,0.042832667,3,body_parts,nouns,tuT
91,produces,English,this,this,0.093129139,91,11.69902913,3,pronouns,function_words,Dis
92,produces,English,horse,horse,0.092301325,92.5,0.352941176,3,animals,nouns,hOrs
93,produces,English,out,out,0.092301325,92.5,3.305539692,2,locations,function_words,aUt
94,produces,English,toe,toe,0.09147351,94,0.118218161,2,body_parts,nouns,toU
95,produces,English,bathtub,bathtub,0.090645695,95,0.006282125,3,furniture_rooms,nouns,b&T t@b
96,produces,English,blanket,blanket,0.090231788,96,0.163335237,7,household,nouns,bl&n k@t
97,produces,English,mouth,mouth,0.089817881,97,0.842946887,3,body_parts,nouns,maUt
98,produces,English,foot,foot,0.088162252,98,0.52312964,3,body_parts,nouns,fUt
99,produces,English,telephone,telephone,0.087334437,99,0.213592233,7,household,nouns,"tE l@ ,foUn"
100,produces,English,brush,brush,0.084437086,100,0.341519132,4,household,nouns,brVS
101,produces,English,me,me,0.083195364,101,5.587664192,2,pronouns,function_words,mi
102,produces,English,bee,bee,0.08236755,102.5,0.088520845,2,animals,nouns,bi
103,produces,English,cheerios,cheerios,0.08236755,102.5,0.001713307,5,food_drink,nouns,tSI ri oUs
104,produces,English,eat,eat,0.079056291,105,1.946887493,2,action_words,predicates,it
105,produces,English,pig,pig,0.079056291,105,0.303255283,3,animals,nouns,pIg
106,produces,English,what,what,0.079056291,105,20.92975443,3,question_words,function_words,wVt
107,produces,English,tickle,tickle,0.07781457,107,0.356938892,4,action_words,predicates,tI k@l
108,produces,English,bug,bug,0.075331126,108,0.173615077,3,animals,nouns,bVg
109,produces,English,drink (action),drink (action),0.074089404,109,0.509423187,5,action_words,predicates,drInK
110,produces,English,clock,clock,0.073675497,110.5,0.095945174,4,household,nouns,klAk
111,produces,English,fish (food),fish (food),0.073675497,110.5,0.44603084,3,food_drink,nouns,fiS
112,produces,English,bread,bread,0.072847682,112.5,0.178183895,4,food_drink,nouns,brEd
113,produces,English,bus,bus,0.072847682,112.5,0.312964021,3,vehicles,nouns,bVs
114,produces,English,bib,bib,0.072433775,114,0.110793832,3,clothing,nouns,bIb
115,produces,English,chair,chair,0.069950331,115,0.898343804,3,furniture_rooms,nouns,tSEr
116,produces,English,pretty,pretty,0.067880795,116,1.214734437,5,descriptive_words,predicates,prI ti
117,produces,English,bite,bite,0.066639073,117.5,0.438606511,3,action_words,predicates,baIt
118,produces,English,kiss,kiss,0.066639073,117.5,0.371216448,3,action_words,predicates,kIs
119,produces,English,don't,don't,0.065811258,119.5,8.913763564,4,games_routines,other,doUnt
120,produces,English,peas,peas,0.065811258,119.5,0.077669903,3,food_drink,nouns,piz
121,produces,English,hand,hand,0.065397351,121.5,0.804111936,4,body_parts,nouns,h&nd
122,produces,English,toothbrush,toothbrush,0.065397351,121.5,0.032552827,7,household,nouns,tuT br@S
123,produces,English,cold,cold,0.063327815,123,0.412335808,4,descriptive_words,predicates,koUld
124,produces,English,bicycle,bicycle,0.0625,124,0.056539121,6,vehicles,nouns,baI sI k@l
125,produces,English,cockadoodledoo,cockadoodledoo,0.062086093,125,NA,NA,sounds,other,kA kV du d@l du
126,produces,English,off,off,0.061672185,126,2.121644774,2,locations,function_words,Of
127,produces,English,rock,rock,0.061258278,127,0.119360366,3,outside,nouns,rAk
128,produces,English,see,see,0.060016556,128.5,8.862364363,2,action_words,predicates,si
129,produces,English,tummy,tummy,0.060016556,128.5,0.134209023,4,body_parts,nouns,tV mi
130,produces,English,swing (object),swing (object),0.059188742,130,0.11022273,4,outside,nouns,swIN
131,produces,English,bed,bed,0.057533113,131.5,0.755568247,3,furniture_rooms,nouns,bEd
132,produces,English,cereal,cereal,0.057533113,131.5,0.175328384,6,food_drink,nouns,sI ri @l
133,produces,English,box,box,0.057119205,133,1.185608224,4,household,nouns,bAks
134,produces,English,toast,toast,0.056705298,134.5,0.080525414,4,food_drink,nouns,toUst
135,produces,English,train,train,0.056705298,134.5,0.39234723,4,vehicles,nouns,treIn
136,produces,English,bowl,bowl,0.055877483,137.5,0.161050828,3,household,nouns,ti 'vi
137,produces,English,monkey,monkey,0.055877483,137.5,0.204454597,5,animals,nouns,boUl
138,produces,English,on,on,0.055877483,137.5,11.93717875,2,locations,function_words,mVN ki 
139,produces,English,tv,TV,0.055877483,137.5,0.08966305,4,furniture_rooms,nouns,An
140,produces,English,egg,egg,0.055463576,140.5,0.206739006,2,food_drink,nouns,Eg
141,produces,English,toy,toy,0.055463576,140.5,0.426042262,2,toys,nouns,tOI
142,produces,English,dirty,dirty,0.055049669,142.5,0.348372359,4,descriptive_words,predicates,d3r ti
143,produces,English,head,head,0.055049669,142.5,0.840091376,3,body_parts,nouns,hEd
144,produces,English,sister,sister,0.054635762,144.5,0.123929183,5,people,other,sis t@r
145,produces,English,stop,stop,0.054635762,144.5,0.680182753,4,action_words,predicates,stAp
146,produces,English,open,open,0.053807947,146,0.941176471,4,action_words,predicates,oU p@n
147,produces,English,owl,owl,0.052566225,147,0.07424329,2,animals,nouns,aUl
148,produces,English,knee,knee,0.050496689,148,0.075385494,2,body_parts,nouns,ni
149,produces,English,good,good,0.050082781,149.5,4.565962307,3,descriptive_words,predicates,gUd
150,produces,English,potty,potty,0.050082781,149.5,0.006853227,4,furniture_rooms,nouns,pA ti
151,produces,English,glasses,glasses,0.049254967,151.5,0.138777841,5,household,nouns,gl& s@z
152,produces,English,shirt,shirt,0.049254967,151.5,0.312392918,3,clothing,nouns,S3rt
153,produces,English,hug,hug,0.04884106,153.5,0.179897202,3,action_words,predicates,hVg
154,produces,English,turtle,turtle,0.04884106,153.5,0.127926899,4,animals,nouns,t3r t@l
155,produces,English,brother,brother,0.048427152,156,0.103369503,5,people,other,beV Der
156,produces,English,ice cream,ice cream,0.048427152,156,0.114791548,6,food_drink,nouns,aIs krim
157,produces,English,love,love,0.048427152,156,0.479154769,3,action_words,predicates,lVv
158,produces,English,boots,boots,0.048013245,158,0.071387778,3,clothing,nouns,buts
159,produces,English,pizza,pizza,0.047599338,159,0.017133067,4,food_drink,nouns,pi ts@
160,produces,English,coat,coat,0.04718543,160.5,0.121073672,3,clothing,nouns,koUt
161,produces,English,noodles,noodles,0.04718543,160.5,0.045117076,5,food_drink,nouns,nu d@lz
162,produces,English,broom,broom,0.046771523,163,0.058252427,4,household,nouns,brum
163,produces,English,pillow,pillow,0.046771523,163,0.075956596,4,household,nouns,pi loU
164,produces,English,star,star,0.046771523,163,0.089091947,3,outside,nouns,stAr
165,produces,English,nap,nap,0.045529801,165,0.217589949,3,games_routines,other,n&p
166,produces,English,cake,cake,0.044701987,166,0.254140491,3,food_drink,nouns,keIk
167,produces,English,chicken (food),chicken (food),0.043874172,167.5,0.323814963,6,food_drink,nouns,tSI k@n
168,produces,English,swing (action),swing (action),0.043874172,167.5,0.11022273,4,action_words,predicates,swIN
169,produces,English,my,my,0.043460265,169,2.630496859,2,pronouns,function_words,maI
170,produces,English,frog,frog,0.043046358,171,0.197030268,4,animals,nouns,frAg
171,produces,English,paper,paper,0.043046358,171,0.535693889,4,household,nouns,peI p@r
172,produces,English,slide (object),slide (object),0.043046358,171,0.127355797,4,outside,nouns,slaId
173,produces,English,arm,arm,0.04263245,174,0.179897202,2,body_parts,nouns,Arm
174,produces,English,mouse,mouse,0.04263245,174,0.207310109,3,animals,nouns,maUs
175,produces,English,pool,pool,0.04263245,174,0.073101085,3,outside,nouns,pul
176,produces,English,big,big,0.042218543,177,2.311821816,3,descriptive_words,predicates,bIg
177,produces,English,chicken (animal),chicken (animal),0.042218543,177,0.323814963,6,animals,nouns,tSI k@n
178,produces,English,orange (food),orange (food),0.042218543,177,0.447744146,5,food_drink,nouns,O r@ndZ
179,produces,English,nice,nice,0.041804636,179,1.470588235,3,descriptive_words,predicates,naIs
180,produces,English,food,food,0.041390728,180,0.380925186,3,food_drink,nouns,fud
181,produces,English,home,home,0.040976821,181,0.685322673,3,outside,nouns,hoUm
182,produces,English,bad,bad,0.040562914,183,0.270702456,3,descriptive_words,predicates,b&d
183,produces,English,candy,candy,0.040562914,183,0.092518561,5,food_drink,nouns,k&n di
184,produces,English,watch (object),watch (object),0.040562914,183,0.802969732,4,household,nouns,wAtS
185,produces,English,elephant,elephant,0.040149007,186,0.26156482,7,animals,nouns,aI
186,produces,English,i,I,0.040149007,186,15.67846945,1,pronouns,function_words,E l@ f@nt
187,produces,English,lion,lion,0.040149007,186,0.219874358,4,animals,nouns,laI @n
188,produces,English,read,read,0.039735099,188,1.179326099,3,action_words,predicates,rid
189,produces,English,boy,boy,0.039321192,190,1.756139349,2,people,other,bOI
190,produces,English,girl,girl,0.039321192,190,1.305539692,3,people,other,g3rl
191,produces,English,house,house,0.039321192,190,1.093089663,3,outside,nouns,haUs
192,produces,English,blow,blow,0.038493377,192.5,0.242718447,3,action_words,predicates,bloU
193,produces,English,pen,pen,0.038493377,192.5,0.095945174,3,toys,nouns,pEn
194,produces,English,wet,wet,0.03807947,194,0.264991433,3,descriptive_words,predicates,wEt
195,produces,English,soap,soap,0.037665563,195.5,0.104511708,3,household,nouns,soUp
196,produces,English,walk,walk,0.037665563,195.5,0.45117076,3,action_words,predicates,wOk
197,produces,English,pants,pants,0.037251656,197.5,0.303826385,4,clothing,nouns,p&nts
198,produces,English,trash,trash,0.037251656,197.5,0.085094232,4,household,nouns,tr&S
199,produces,English,bump,bump,0.036837748,200,0.080525414,4,action_words,predicates,bVmp
200,produces,English,money,money,0.036837748,200,0.294688749,4,household,nouns,mV ni
201,produces,English,tiger,tiger,0.036837748,200,0.13592233,4,animals,nouns,taI g@r
202,produces,English,aunt,aunt,0.036423841,202,0.018275271,3,people,other,&nt
203,produces,English,dance,dance,0.036009934,203,0.152484295,4,action_words,predicates,d&ns
204,produces,English,butterfly,butterfly,0.035596026,204,0.105653912,7,animals,nouns,"bV t@r ,flaI"
205,produces,English,blue,blue,0.035182119,206,0.697886922,3,descriptive_words,predicates,blu
206,produces,English,happy,happy,0.035182119,206,0.29754426,4,descriptive_words,predicates,h& pi
207,produces,English,night,night,0.035182119,206,0.420331239,3,time_words,other,naIt
208,produces,English,stairs,stairs,0.034768212,208,0.110793832,3,furniture_rooms,nouns,stErz
209,produces,English,close,close,0.034354305,209,0.498001142,4,action_words,predicates,klOus
210,produces,English,fork,fork,0.033940397,210,0.066247858,3,household,nouns,fOrk
211,produces,English,look,look,0.033112583,212,6.750999429,3,action_words,predicates,lUk
212,produces,English,there,there,0.033112583,212,9.329525985,2,locations,function_words,De@r
213,produces,English,towel,towel,0.033112583,212,0.158195317,3,household,nouns,taU @l
214,produces,English,sheep,sheep,0.032698675,214,0.19474586,3,animals,nouns,Sip
215,produces,English,pajamas,pajamas,0.032284768,215.5,0.115933752,7,clothing,nouns,p@ 'dZA m@z
216,produces,English,rain,rain,0.032284768,215.5,0.11022273,3,outside,nouns,reIn
217,produces,English,wanna,wanna/want to,0.031870861,217,3.682467162,5,games_routines,other,wA n@
218,produces,English,help,help,0.031456954,219,0.783552256,4,action_words,predicates,hElp
219,produces,English,jacket,jacket,0.031456954,219,0.101656196,5,clothing,nouns,dZ& k@t
220,produces,English,sleep,sleep,0.031456954,219,0.439748715,4,action_words,predicates,slip
221,produces,English,park,park,0.031043046,221.5,0.131353512,3,outside,nouns,pArk
222,produces,English,stroller,stroller,0.031043046,221.5,0.045688178,6,vehicles,nouns,stroU l@r
223,produces,English,purse,purse,0.030215232,223,0.043974872,3,household,nouns,p3rs
224,produces,English,pattycake,pattycake,0.029801325,224.5,0.116504854,7,games_routines,other,p& ti keIk
225,produces,English,play,play,0.029801325,224.5,2.667618504,3,action_words,predicates,pleI
226,produces,English,cheek,cheek,0.029387417,227,0.019417476,4,body_parts,nouns,tSik
227,produces,English,jump,jump,0.029387417,227,0.303826385,4,action_words,predicates,dZVmp
228,produces,English,you,you,0.029387417,227,58.3083952,2,pronouns,function_words,ju
229,produces,English,carrots,carrots,0.02897351,229.5,0.085094232,6,food_drink,nouns,k3r @ts
230,produces,English,finger,finger,0.02897351,229.5,0.284980011,5,body_parts,nouns,fiN g@r
231,produces,English,breakfast,breakfast,0.028145695,233,0.246716162,8,games_routines,other,brEk f@st
232,produces,English,giraffe,giraffe,0.028145695,233,0.08966305,5,animals,nouns,dZe 'r&f
233,produces,English,high chair,high chair,0.028145695,233,0.006282125,5,furniture_rooms,nouns,haI tSEr
234,produces,English,tongue,tongue,0.028145695,233,0.149057681,3,body_parts,nouns,tVN
235,produces,English,vacuum,vacuum,0.028145695,233,0.034266134,7,household,nouns,v& kjum
236,produces,English,kick,kick,0.027731788,237,0.100513992,3,action_words,predicates,kIk
237,produces,English,spaghetti,spaghetti,0.027731788,237,0.079954312,7,food_drink,nouns,sp@ 'gE ti
238,produces,English,splash,splash,0.027731788,237,0.071958881,5,action_words,predicates,spl&S
239,produces,English,dinner,dinner,0.027317881,239,0.256996002,4,games_routines,other,dI n@r
240,produces,English,all,all,0.026490066,241,4.414049115,2,quantifiers,function_words,Ol
241,produces,English,animal,animal,0.026490066,241,0.162764135,6,animals,nouns,& n@ m@l
242,produces,English,raisin,raisin,0.026490066,241,0.019988578,4,food_drink,nouns,reI zIn
243,produces,English,back,back,0.026076159,244,2.973729298,3,locations,function_words,b&k
244,produces,English,beads,beads,0.026076159,244,0.067390063,4,clothing,nouns,bidz
245,produces,English,sky,sky,0.026076159,244,0.095945174,3,outside,nouns,skaI
246,produces,English,face,face,0.025662252,247,0.484294689,3,body_parts,nouns,feIs
247,produces,English,sing,sing,0.025662252,247,0.408338093,3,action_words,predicates,sIN
248,produces,English,sun,sun,0.025662252,247,0.159337521,3,outside,nouns,sVn
249,produces,English,comb (object),comb,0.025248344,250,0.183894917,3,household,nouns,koUm
250,produces,English,leg,leg,0.025248344,250,0.186750428,3,body_parts,nouns,lEg
251,produces,English,window,window,0.025248344,250,0.227869789,5,furniture_rooms,nouns,wIn doU
252,produces,English,in,in,0.024834437,252,13.00742433,2,locations,function_words,In
253,produces,English,coffee,coffee,0.02442053,255,0.277555682,4,food_drink,nouns,kA fi
254,produces,English,lunch,lunch,0.02442053,255,0.350085665,5,games_routines,other,lVntS
255,produces,English,man,man,0.02442053,255,0.564820103,3,people,other,m&n
256,produces,English,table,table,0.02442053,255,0.57167333,4,furniture_rooms,nouns,teI b@l
257,produces,English,work (place),work (place),0.02442053,255,0.42318675,3,outside,nouns,w3rk
258,produces,English,picture,picture,0.024006623,259,0.588235294,6,household,nouns,pIk tS@r
259,produces,English,push,push,0.024006623,259,0.814391776,3,action_words,predicates,pUS
260,produces,English,uncle,uncle,0.024006623,259,0.014848658,4,people,other,VN k@l
261,produces,English,it,it,0.023592715,261.5,24.96687607,2,pronouns,function_words,It
262,produces,English,medicine,medicine,0.023592715,261.5,0.083952027,6,household,nouns,mE d@ sIn
263,produces,English,dress,dress,0.023178808,263.5,0.195888064,4,clothing,nouns,drEs
264,produces,English,rocking chair,rocking chair,0.023178808,263.5,0.011422045,8,furniture_rooms,nouns,rA kiN tSEr
265,produces,English,necklace,necklace,0.022764901,265,0.03083952,6,clothing,nouns,nEk l@s
266,produces,English,butter,butter,0.022350993,268,0.103369503,4,food_drink,nouns,bU t@r
267,produces,English,get,get,0.022350993,268,6.742432895,3,action_words,predicates,gEt
268,produces,English,squirrel,squirrel,0.022350993,268,0.054825814,6,animals,nouns,skw@rl
269,produces,English,store,store,0.022350993,268,0.271273558,3,outside,nouns,stOr
270,produces,English,wash,wash,0.022350993,268,0.441462022,3,action_words,predicates,wAS
271,produces,English,ride,ride,0.021937086,271.5,0.400913764,3,action_words,predicates,raId
272,produces,English,where,where,0.021937086,271.5,4.142775557,2,question_words,function_words,wEr
273,produces,English,hungry,hungry,0.021523179,274,0.253569389,6,descriptive_words,predicates,hVN gri
274,produces,English,meat,meat,0.021523179,274,0.090805254,3,food_drink,nouns,mit
275,produces,English,some,some,0.021523179,274,3.902912621,3,quantifiers,function_words,sVm
276,produces,English,bathroom,bathroom,0.021109272,276.5,0.002284409,6,furniture_rooms,nouns,"b& ,Trum"
277,produces,English,goose,goose,0.021109272,276.5,0.050828098,3,animals,nouns,gUs
278,produces,English,couch,couch,0.020281457,280,0.098229583,4,furniture_rooms,nouns,kaUtS
279,produces,English,deer,deer,0.020281457,280,0.033123929,2,animals,nouns,dir
280,produces,English,fall,fall,0.020281457,280,0.474014849,3,action_words,predicates,fOl
281,produces,English,shorts,shorts,0.020281457,280,0.039977156,4,clothing,nouns,Sorts
282,produces,English,throw,throw,0.020281457,280,0.80525414,3,action_words,predicates,TroU
283,produces,English,broken,broken,0.01986755,284.5,0.159908624,6,descriptive_words,predicates,broU k@n
284,produces,English,cry,cry,0.01986755,284.5,0.170188464,3,action_words,predicates,kraI
285,produces,English,sleepy,sleepy,0.01986755,284.5,0.186179326,5,descriptive_words,predicates,sli pi
286,produces,English,turkey,turkey,0.01986755,284.5,0.062250143,4,animals,nouns,t3r ki
287,produces,English,clean (description),clean (description),0.019453642,288,0.458595089,4,descriptive_words,predicates,klin
288,produces,English,who,who,0.019453642,288,1.87435751,2,question_words,function_words,hu
289,produces,English,zipper,zipper,0.019453642,288,0.085094232,4,clothing,nouns,zI p@r
290,produces,English,red,red,0.018625828,290.5,0.781838949,3,descriptive_words,predicates,rEd
291,produces,English,soft,soft,0.018625828,290.5,0.154197601,4,descriptive_words,predicates,sAft
292,produces,English,firetruck,firetruck,0.018211921,294,0.031981725,7,vehicles,nouns,faI @r trVk
293,produces,English,lamb,lamb,0.018211921,294,0.094231868,3,animals,nouns,l&m
294,produces,English,plant,plant,0.018211921,294,0.050828098,5,household,nouns,pl&nt
295,produces,English,plate,plate,0.018211921,294,0.127355797,4,household,nouns,pleIt
296,produces,English,touch,touch,0.018211921,294,0.432324386,4,action_words,predicates,tVtS
297,produces,English,pony,pony,0.017798013,297,0.049114792,4,animals,nouns,"poU ,ni"
298,produces,English,asleep,asleep,0.016970199,300.5,0.085665334,5,descriptive_words,predicates,e 'slip
299,produces,English,beach,beach,0.016970199,300.5,0.159337521,4,outside,nouns,bitS
300,produces,English,dark,dark,0.016970199,300.5,0.07938321,3,descriptive_words,predicates,dArk
301,produces,English,hammer,hammer,0.016970199,300.5,0.134209023,4,household,nouns,h& m@r
302,produces,English,hurt,hurt,0.016970199,300.5,0.484865791,3,descriptive_words,predicates,h3rt
303,produces,English,kitchen,kitchen,0.016970199,300.5,0.201027984,6,furniture_rooms,nouns,kI tS@n
304,produces,English,empty,empty,0.016142384,305,0.064534552,5,descriptive_words,predicates,Emp ti
305,produces,English,gentle,gentle,0.016142384,305,0.091947459,5,descriptive_words,predicates,dZEn t@l
306,produces,English,watch (action),watch (action),0.016142384,305,0.802969732,4,action_words,predicates,wAtS
307,produces,English,glass,glass,0.015728477,307.5,0.093089663,4,household,nouns,gl&s
308,produces,English,now,now,0.015728477,307.5,4.384922901,2,time_words,other,naU
309,produces,English,clean (action),clean (action),0.01531457,310,0.458595089,4,action_words,predicates,klin
310,produces,English,dish,dish,0.01531457,310,0.047972587,3,household,nouns,dIS
311,produces,English,run,run,0.01531457,310,0.2564249,3,action_words,predicates,rVn
312,produces,English,crib,crib,0.014900662,313,0.067961165,4,furniture_rooms,nouns,krIb
313,produces,English,cute,cute,0.014900662,313,0.254140491,4,descriptive_words,predicates,kjut
314,produces,English,thirsty,thirsty,0.014900662,313,0.081667619,5,descriptive_words,predicates,T3rs ti
315,produces,English,school,school,0.014486755,315,0.560251285,4,outside,nouns,skul
316,produces,English,donkey,donkey,0.014072848,317,0.111364934,5,animals,nouns,dAN ki
317,produces,English,tired,tired,0.014072848,317,0.339234723,4,descriptive_words,predicates,taI 3rd
318,produces,English,wait,wait,0.014072848,317,0.824671616,3,games_routines,other,weIt
319,produces,English,motorcycle,motorcycle,0.01365894,320.5,0.110793832,8,vehicles,nouns,"mou t@r ,saI k@l"
320,produces,English,shovel,shovel,0.01365894,320.5,0.046830383,4,outside,nouns,SV v@l
